object_id,object_class,ra_deg,dec_deg,house,redshift,gamma,lyman,gamma_lyman_ratio
sdss:7836,unknown,0.0,0.0,Aleph,0.0,0.08231665939092636,0.06613469123840332,1.2446631742941119
sdss:8701,quasar,356.18121999999994,33.753315,Zeta,1.86512291431427,0.17712077498435974,0.009091108106076717,19.48071590415659
sdss:12025,galaxy,26.713773974371634,20.708972150538965,Aleph,0.6354248523712158,0.0,0.004112871363759041,0.0
sdss:13052,unknown,0.0,0.0,Aleph,0.0,0.17992094159126282,0.11059162020683289,1.626880177490781
sdss:2703,unknown,0.0,0.0,Aleph,0.0,0.0,0.02499489113688469,0.0
sdss:5353,unknown,0.0,0.0,Aleph,0.0,0.08955717086791992,3.7948464068904286e-06,18677.79763272957
sdss:6320,galaxy,150.29501311072207,51.09815762022574,Mu,0.7787476181983948,0.09492137283086777,1.7507757377188682e-07,80778.81405410472
sdss:3296,unknown,0.0,0.0,Aleph,0.0,0.050508469343185425,0.07437141239643097,0.6791290979504284
sdss:10006,quasar,213.6627581252718,52.104484095191,Lambda,2.9158520698547363,0.3506065309047699,0.03526332601904869,9.94224391855336
sdss:1023,unknown,0.0,0.0,Aleph,0.0,0.0,0.006968674249947071,0.0
sdss:6453,galaxy,212.33952392567284,59.05675490189944,Lambda,0.7891141176223755,0.09857102483510971,0.02486339583992958,3.9643442563287663
sdss:5361,unknown,0.0,0.0,Aleph,0.0,0.0224604532122612,0.008188274689018726,2.7426669717623686
sdss:2399,quasar,211.42721285322358,53.38987323329852,Lambda,2.0077953338623047,0.0015267545823007822,0.00522982981055975,0.29187617215506473
sdss:11562,unknown,0.0,0.0,Aleph,0.0,0.49525177478790283,0.024649862200021744,20.090647165577273
sdss:14887,star,167.0850295588605,10.559056605450074,Mu,0.001060763606801629,0.1317603886127472,0.04945851117372513,2.6640050717432806
sdss:6866,galaxy,135.2195381800511,38.37254362932213,Phi,0.668982207775116,0.2673197090625763,0.03215509280562401,8.313189997256844
sdss:6343,unknown,0.0,0.0,Aleph,0.0,0.0,0.16373634338378906,0.0
sdss:4231,unknown,0.0,0.0,Aleph,0.0,0.0,0.07496286928653717,0.0
sdss:283,quasar,10.93258691918328,26.066780710718216,Aleph,3.321895122528076,0.0,0.19076532125473022,0.0
sdss:11703,unknown,0.0,0.0,Aleph,0.0,0.14176669716835022,0.028191007673740387,5.028613031359226
sdss:1401,galaxy,355.64238,26.286682,Zeta,0.9731127619743347,0.2172132283449173,0.0013115437468513846,165.4902770791317
sdss:1604,galaxy,178.5172381759144,38.80349826834684,Mu,0.3799338638782501,0.46334314346313477,0.003674701787531376,126.05569500629127
sdss:4479,quasar,146.5876849575517,38.6422793701665,Phi,1.0854182243347168,0.15352794528007507,1.9865919966832735e-06,51405.73116467661
sdss:12721,unknown,0.0,0.0,Aleph,0.0,0.07621878385543823,0.039220526814460754,1.9432895668747092
sdss:11863,galaxy,142.78845610143412,44.224751872402,Phi,0.5927517414093018,0.09060947597026825,0.02908853255212307,3.1148481264837375
sdss:14159,quasar,337.46633435426463,1.4968635834163615,Zeta,2.8108367919921875,0.08260180056095123,2.736965507210698e-05,2911.625127306015
sdss:5118,galaxy,111.07163323524372,43.25396408058486,Psi,0.3725756108760834,0.3379339873790741,7.998268074516091e-07,187759.16992677638
sdss:3679,galaxy,253.39180392331278,46.86927242667429,Gamma,0.7001977562904358,0.21626830101013184,0.014129307121038437,15.305279577974119
sdss:3878,quasar,153.6821944130345,48.42499207989404,Mu,2.2113609313964844,0.0,5.045035777584417e-06,0.0
sdss:2830,galaxy,205.4526709143088,18.655995029000625,C_plit,0.5403191447257996,0.05843491107225418,0.008123437874019146,7.19248666533855
sdss:1869,unknown,0.0,0.0,Aleph,0.0,0.0,0.030534381046891212,0.0
sdss:11690,unknown,0.0,0.0,Aleph,0.0,0.7112431526184082,0.16055536270141602,4.4298658779477655
sdss:24,unknown,0.0,0.0,Aleph,0.0,0.15571121871471405,6.686345841444563e-07,93316.54766975266
sdss:6050,quasar,6.354977496996298,15.204420414157354,Aleph,0.3316805362701416,0.10750506073236465,0.0008596889092586935,124.90582785010923
sdss:9329,galaxy,178.53796446150227,56.47183485902557,Mu,0.5584053993225098,0.05314427986741066,0.22148668766021729,0.23994236622732243
sdss:608,galaxy,133.23158544303666,20.327325695136704,Phi,0.7567901015281677,0.5090134143829346,0.13169142603874207,3.8651684815434257
sdss:1952,galaxy,257.45399165217503,30.1369611858961,Gamma,0.34404250979423523,0.00040312830242328346,0.010250675491988659,0.03932316261262023
sdss:9350,galaxy,215.76327156288733,58.53245590996327,Lambda,0.7392717003822327,0.0,0.00849822536110878,0.0
sdss:14424,unknown,0.0,0.0,Aleph,0.0,0.0,0.018793780356645584,0.0
sdss:8395,unknown,0.0,0.0,Aleph,0.0,0.19147591292858124,0.07270348072052002,2.633619152918856
sdss:6856,galaxy,110.17468985739676,39.41893894609163,Psi,0.14627739787101746,0.0,0.004347251728177071,0.0
sdss:1176,unknown,0.0,0.0,Aleph,0.0,0.08757234364748001,0.002532046288251877,34.571947640134134
sdss:10924,galaxy,125.98131109703753,22.73066389790998,Phi,0.6686305999755859,0.1580423265695572,0.021012766286730766,7.520894846410931
sdss:3987,galaxy,348.5707130193955,32.13329691044802,Zeta,0.0,0.677918553352356,0.004476308822631836,151.41206028175296
sdss:959,unknown,0.0,0.0,Aleph,0.0,0.06285185366868973,0.011968482285737991,5.251008537234703
